unemployed area_buildings births deaths moves_in moves_out cars trucks motorbikes buildings_until_1900 buildings_1900-1918 buildings_1919-1948 buildings_1949-1957 buildings_1958-1962 buildings_1963-1972 buildings_1973-1982 buildings_1983-1992 buildings_1993-2001 households children male female social_insurance benefits age_under_26 age_26-35 age_36-45 age_46-55 age_56-65 age_above_65
Wickeder_Feld 495 235621 59 58 191 194 2295 36 162 14 10 3 2 23 303 257 148 70 947 1477 1737 745 1952 707 100 326 633 626 429 368
Wickede_Dorf 221 159008 42 71 112 139 1703 49 155 92 42 21 64 169 192 116 36 48 447 681 1240 558 1430 138 70 287 458 363 316 304
Dollersweg 181 120694 18 36 74 113 1249 21 135 33 166 77 28 75 146 37 21 30 356 530 932 421 1017 138 54 195 342 303 240 219
Flughafen 169 73601 21 19 91 120 1316 302 73 23 30 7 4 14 125 17 26 28 319 530 622 267 722 153 26 164 255 163 165 116
Aplerbecker_Strasse 96 107161 25 22 71 71 1535 54 108 37 32 17 60 286 133 65 23 20 226 340 829 511 699 35 36 182 301 253 283 285
Marsbruchstrasse 156 126187 54 109 2220 2559 1335 60 141 26 29 108 215 62 82 86 44 26 490 828 868 568 1056 219 43 242 347 326 262 216
Aplerbecker_Markt 207 128029 41 26 179 112 1470 76 96 112 54 34 38 21 101 53 15 52 385 612 967 505 956 285 84 248 340 291 257 252
Vieselerhofstrasse 99 99737 22 20 76 74 1066 25 102 26 45 23 25 58 101 191 19 25 261 427 713 441 758 57 37 153 273 261 235 195
Aplerbeck_Bahnhof_Sud 158 142542 31 33 79 50 1611 86 155 66 37 98 69 95 116 159 35 37 346 555 1106 590 1125 92 48 275 402 345 344 282
Aplerbecker_Mark 131 201294 25 24 101 140 2423 53 219 84 18 22 39 31 132 528 199 79 502 775 1532 1034 1464 18 61 262 604 653 648 338
Schwerter_Strasse 30 67158 16 9 47 44 756 40 55 27 14 23 38 45 69 86 45 14 144 232 498 316 428 33 16 88 181 185 197 147
