"","unemployed","area_buildings","births","deaths","moves_in","moves_out","cars","trucks","motorbikes","buildings_until_1900","buildings_1900.1918","buildings_1919.1948","buildings_1949.1957","buildings_1958.1962","buildings_1963.1972","buildings_1973.1982","buildings_1983.1992","buildings_1993.2001","households","children","male","female","social_insurance","benefits","age_under_26","age_26.35","age_36.45","age_46.55","age_56.65","age_above_65"
"male",0.790361082572593,0.95662799220152,0.840056484689039,0.811780606998611,0.749369018592153,0.776237583221964,0.966007468273519,0.608458751381613,0.930943050075526,0.401644359755292,0.544894445070626,0.538176339574001,0.60326222528683,0.641318962372506,0.57608631373671,0.576482930367204,0.609382375153584,0.541204759637904,0.918194630875243,0.890027968115863,1,0.946070421004706,0.951240542504534,0.68325117694971,0.90828223064803,0.938371677672452,0.978455272214013,0.973459698279742,0.941453891386425,0.893428002191237
"female",0.630129114595071,0.903146697348116,0.709903334806063,0.733475613983855,0.655844183945888,0.686582796141282,0.955467349826506,0.548225593948165,0.938337401161618,0.398587991137777,0.452421673164172,0.558422311104758,0.564869903553088,0.656514618326111,0.628533863084228,0.657918071478338,0.651836327021744,0.560006213216266,0.789987249416187,0.751449403689613,0.946070421004706,1,0.870129703603224,0.504256483785646,0.786191685826447,0.86322924586602,0.951333691607665,0.96705616537098,0.969174757031375,0.938108489547344
"social_insurance",0.894492928430914,0.971410600897447,0.909373232320489,0.833685149404884,0.864669712956112,0.889416175170164,0.936272399468212,0.678149712364724,0.867263750000169,0.388000072286108,0.613628597036071,0.507312326635988,0.643792384075695,0.561840540764555,0.399505585224934,0.424083279341711,0.509582915120126,0.413001472258551,0.940828001296048,0.917156413749559,0.951240542504534,0.870129703603224,1,0.792569459932113,0.947129639379543,0.976871899037974,0.937018264937951,0.902535135584956,0.842520353509176,0.771423372147295
"benefits",0.964083028281422,0.74372985630641,0.873208084438207,0.733937906147744,0.813850080250387,0.798736937794629,0.636835526800379,0.594078484851302,0.52931344049603,0.203936199757909,0.545016291873485,0.329789423913736,0.519611040625453,0.342061338103553,0.167224966747513,0.120190597088137,0.22245022959683,0.169398066453687,0.849366475606047,0.856470405049433,0.68325117694971,0.504256483785646,0.792569459932113,1,0.843360735291116,0.77587134568203,0.63708402890176,0.58938435130905,0.497921203852193,0.448436052744643
"age_under_26",0.916506914437526,0.910553369962856,0.916253186228029,0.820679060989371,0.822104013506333,0.836180641333134,0.868617492412441,0.654788960199748,0.808292608394457,0.394354078601529,0.615601447644416,0.481765506720184,0.59082536311051,0.532559774607619,0.379648421273682,0.397874574768337,0.470665010265088,0.425499174034352,0.949977711966927,0.936575698438437,0.90828223064803,0.786191685826447,0.947129639379543,0.843360735291116,1,0.931314863413804,0.876029506677823,0.848275953067222,0.76847099765768,0.700998574380177
"age_26.35",0.882994185270203,0.957386639583715,0.913397579863666,0.824259405451935,0.869136837233219,0.878617073107319,0.922107011634618,0.688570516974898,0.857468963935126,0.404077146103763,0.637744709662551,0.520079077070714,0.653531666551915,0.551470689728124,0.379994430969996,0.403283325867334,0.469068783658676,0.432156542429829,0.926072643143062,0.907915716326943,0.938371677672452,0.86322924586602,0.976871899037974,0.77587134568203,0.931314863413804,1,0.927310533085654,0.878163986899377,0.828336739865862,0.75540898193788
"age_36.45",0.749253295728436,0.924442164812732,0.805890481840904,0.772520176335538,0.723573090318706,0.752696629953311,0.952691021896281,0.587459213651806,0.948327265610698,0.424103153960909,0.533401294142579,0.518068964934827,0.590482042668518,0.63049127774801,0.555658153597536,0.575693509255335,0.620648128429843,0.59419506890623,0.899767459210437,0.870567796005387,0.978455272214013,0.951333691607665,0.937018264937951,0.63708402890176,0.876029506677823,0.927310533085654,1,0.962413705755874,0.91436932382278,0.864007733509204
"age_46.55",0.700623006329752,0.915802747359948,0.761151348801682,0.758702397886398,0.681792367186707,0.707573394877622,0.953678881789165,0.567562832972806,0.943020300475523,0.410546557859724,0.477163978014794,0.544569072286263,0.573044221492284,0.63997122634149,0.613538820364989,0.668472139622775,0.684657234768409,0.585454283302433,0.860666704528926,0.829170572344063,0.973459698279742,0.96705616537098,0.902535135584956,0.58938435130905,0.848275953067222,0.878163986899377,0.962413705755874,1,0.954777201999172,0.902997989739994
"age_56.65",0.618388260832052,0.888967460616602,0.698220068784828,0.717696039076747,0.621415193187522,0.659510437108549,0.935874457976798,0.522471256561558,0.899361340746145,0.392224368940737,0.440843183367571,0.547673010525816,0.528639113208176,0.66346624507185,0.682801993799419,0.702524695414684,0.656173771101938,0.546904837364735,0.780280491218127,0.743790433816618,0.941453891386425,0.969174757031375,0.842520353509176,0.497921203852193,0.76847099765768,0.828336739865862,0.91436932382278,0.954777201999172,1,0.941987477585132
"age_above_65",0.554264110334416,0.838959219827665,0.615358788578916,0.702800717775813,0.541314657956408,0.572246453025654,0.889221494835371,0.448009294373404,0.869599761520562,0.281963161483812,0.340065023437575,0.50988506464496,0.50994258848973,0.715802938648392,0.734174348100085,0.641316495186651,0.59914224976653,0.500252926610957,0.707254874802524,0.665921655356908,0.893428002191237,0.938108489547344,0.771423372147295,0.448436052744643,0.700998574380177,0.75540898193788,0.864007733509204,0.902997989739994,0.941987477585132,1
